Status,Experience,Skills,Certification,Degree
Not Placed,0,2,No,Diploma
Placed,5,9,No,Postgraduate
Placed,0,7,No,Diploma
Placed,3,4,No,Postgraduate
Placed,0,9,Yes,Postgraduate
Placed,5,5,No,Undergraduate
Placed,0,3,Yes,Diploma
Placed,2,9,Yes,Undergraduate
Placed,3,8,No,Postgraduate
Placed,1,9,No,Diploma
Placed,3,1,No,Postgraduate
Placed,3,5,No,Diploma
Placed,0,2,No,Postgraduate
Placed,5,7,No,Diploma
Placed,3,8,Yes,Postgraduate
Placed,0,5,No,Postgraduate
Placed,0,6,Yes,Diploma
Placed,4,7,No,Undergraduate
Placed,1,8,No,Diploma
Placed,3,10,No,Undergraduate
Placed,1,4,Yes,Postgraduate
Placed,3,7,Yes,Undergraduate
Placed,5,9,Yes,Diploma
Placed,1,4,Yes,Diploma
Placed,3,1,Yes,Undergraduate
Placed,3,1,Yes,Postgraduate
Placed,5,4,No,Postgraduate
Placed,3,7,Yes,Postgraduate
Placed,4,2,No,Undergraduate
Placed,4,8,Yes,Undergraduate
Placed,2,6,No,Diploma
Not Placed,2,0,No,Diploma
Placed,2,9,No,Undergraduate
Placed,3,8,No,Postgraduate
Placed,2,8,No,Postgraduate
Placed,2,3,Yes,Diploma
Placed,3,3,No,Undergraduate
Placed,2,7,No,Postgraduate
Placed,5,10,Yes,Postgraduate
Not Placed,0,2,No,Undergraduate
Placed,3,1,No,Undergraduate
Placed,5,2,No,Diploma
Placed,1,1,No,Postgraduate
Placed,2,9,No,Diploma
Placed,0,5,No,Postgraduate
Placed,5,7,Yes,Diploma
Not Placed,0,3,No,Undergraduate
Placed,5,1,No,Undergraduate
Placed,5,1,No,Undergraduate
Placed,5,4,Yes,Undergraduate
Placed,2,0,No,Postgraduate
Placed,2,6,Yes,Undergraduate
Placed,4,6,Yes,Undergraduate
Not Placed,1,1,No,Diploma
Placed,5,3,No,Diploma
Not Placed,1,3,No,Diploma
Placed,2,7,No,Diploma
Placed,0,7,No,Diploma
Placed,4,2,Yes,Postgraduate
Placed,2,9,No,Diploma
Placed,3,4,No,Postgraduate
Placed,1,6,No,Undergraduate
Placed,1,6,No,Diploma
Placed,2,4,Yes,Diploma
Placed,3,4,Yes,Diploma
Placed,5,0,No,Postgraduate
Placed,1,9,No,Undergraduate
Placed,5,3,No,Diploma
Placed,5,10,Yes,Diploma
Placed,0,10,Yes,Postgraduate
Placed,3,0,No,Diploma
Placed,1,1,No,Postgraduate
Placed,5,6,Yes,Undergraduate
Placed,1,8,No,Diploma
Placed,4,4,Yes,Postgraduate
Placed,3,4,No,Undergraduate
Placed,3,1,Yes,Undergraduate
Placed,5,10,No,Diploma
Not Placed,2,1,No,Undergraduate
Placed,2,8,Yes,Postgraduate
Placed,2,10,No,Diploma
Placed,3,10,No,Undergraduate
Placed,5,3,No,Undergraduate
Placed,4,8,No,Diploma
Placed,1,10,Yes,Diploma
Placed,3,4,No,Undergraduate
Placed,1,0,Yes,Postgraduate
Placed,3,1,Yes,Undergraduate
Placed,4,2,No,Postgraduate
Placed,2,10,No,Diploma
Placed,5,2,No,Diploma
Placed,0,7,No,Postgraduate
Placed,0,5,Yes,Postgraduate
Placed,3,3,No,Undergraduate
Placed,5,5,No,Undergraduate
Placed,3,4,Yes,Undergraduate
Placed,3,1,Yes,Diploma
Placed,5,9,Yes,Undergraduate
Placed,2,3,Yes,Diploma
Placed,1,1,Yes,Diploma
Not Placed,1,3,No,Undergraduate
Placed,4,0,No,Undergraduate
Placed,1,8,No,Undergraduate
Placed,0,10,Yes,Undergraduate
Placed,0,5,Yes,Diploma
Placed,2,0,Yes,Postgraduate
Not Placed,0,2,No,Diploma
Placed,0,1,No,Postgraduate
Placed,2,8,Yes,Postgraduate
Placed,4,3,Yes,Diploma
Placed,5,8,No,Postgraduate
Placed,5,0,Yes,Postgraduate
Placed,3,6,Yes,Postgraduate
Placed,5,7,Yes,Undergraduate
Placed,2,9,Yes,Undergraduate
Placed,1,4,No,Postgraduate
Placed,4,8,No,Postgraduate
Placed,4,9,No,Undergraduate
Placed,5,1,Yes,Postgraduate
Placed,3,3,No,Postgraduate
Placed,3,6,No,Diploma
Placed,0,5,No,Postgraduate
Placed,5,4,No,Undergraduate
Placed,5,7,Yes,Undergraduate
Not Placed,0,1,No,Undergraduate
Placed,5,5,Yes,Diploma
Placed,0,9,No,Diploma
Placed,0,6,No,Diploma
Placed,3,0,No,Diploma
Placed,2,5,Yes,Diploma
Placed,4,3,Yes,Diploma
Placed,3,3,Yes,Postgraduate
Placed,4,5,Yes,Postgraduate
Placed,4,3,No,Diploma
Placed,4,9,Yes,Diploma
Placed,5,4,Yes,Undergraduate
Placed,2,4,No,Postgraduate
Placed,0,2,Yes,Diploma
Placed,5,6,Yes,Undergraduate
Placed,5,10,Yes,Undergraduate
Placed,5,8,Yes,Postgraduate
Placed,3,7,No,Undergraduate
Not Placed,2,4,No,Diploma
Placed,4,1,Yes,Undergraduate
Placed,1,9,Yes,Diploma
Not Placed,0,4,No,Diploma
Placed,3,7,No,Postgraduate
Placed,2,3,Yes,Postgraduate
Placed,3,1,No,Diploma
Placed,5,9,No,Diploma
Placed,5,4,Yes,Undergraduate
Placed,3,9,Yes,Undergraduate
Placed,1,4,Yes,Undergraduate
Not Placed,2,4,No,Undergraduate
Placed,0,7,No,Undergraduate
Placed,1,6,Yes,Diploma
Placed,4,10,No,Undergraduate
Placed,3,0,No,Undergraduate
Placed,3,1,No,Diploma
Placed,3,9,No,Diploma
Placed,5,6,No,Undergraduate
Placed,3,0,No,Undergraduate
Placed,4,7,No,Undergraduate
Placed,3,1,Yes,Postgraduate
Placed,4,6,Yes,Postgraduate
Placed,2,5,Yes,Postgraduate
Placed,1,1,Yes,Diploma
Placed,4,3,No,Postgraduate
Placed,5,10,Yes,Undergraduate
Not Placed,0,2,No,Undergraduate
Placed,1,9,Yes,Diploma
Placed,0,2,No,Postgraduate
Placed,4,9,No,Diploma
Placed,4,10,No,Diploma
Not Placed,2,2,No,Undergraduate
Placed,3,7,No,Postgraduate
Placed,4,0,No,Diploma
Placed,0,4,No,Postgraduate
Placed,0,0,No,Postgraduate
Placed,0,10,Yes,Diploma
Placed,4,8,No,Postgraduate
Placed,4,8,Yes,Postgraduate
Placed,4,10,Yes,Postgraduate
Placed,4,7,Yes,Undergraduate
Placed,3,1,No,Diploma
Placed,0,8,Yes,Undergraduate
Placed,1,7,No,Diploma
Placed,4,9,Yes,Postgraduate
Placed,2,4,No,Postgraduate
Placed,2,10,Yes,Diploma
Placed,5,5,Yes,Postgraduate
Placed,0,8,No,Postgraduate
Placed,2,10,Yes,Postgraduate
Placed,0,9,Yes,Postgraduate
Placed,2,10,No,Undergraduate
Placed,4,1,No,Diploma
Placed,3,10,No,Undergraduate
Placed,5,10,Yes,Diploma
Placed,5,6,No,Undergraduate
Placed,2,4,Yes,Undergraduate
Placed,2,7,Yes,Undergraduate
Placed,1,2,Yes,Postgraduate
Placed,0,8,Yes,Diploma
Placed,2,9,Yes,Diploma
Placed,3,2,Yes,Undergraduate
Placed,5,9,Yes,Diploma
Placed,3,0,No,Postgraduate
Placed,5,3,No,Diploma
Placed,2,7,Yes,Diploma
Not Placed,1,4,No,Undergraduate
Placed,2,10,No,Postgraduate
Placed,2,6,No,Undergraduate
Placed,1,9,Yes,Postgraduate
Placed,0,10,No,Postgraduate
Placed,4,1,Yes,Postgraduate
Placed,0,2,No,Postgraduate
Placed,4,2,No,Undergraduate
Placed,1,7,No,Undergraduate
Placed,3,0,No,Diploma
Not Placed,2,3,No,Undergraduate
Placed,2,3,Yes,Postgraduate
Placed,0,10,No,Undergraduate
Placed,1,0,No,Postgraduate
Placed,5,2,No,Postgraduate
Placed,4,0,Yes,Undergraduate
Placed,2,3,Yes,Diploma
Placed,5,9,No,Undergraduate
Not Placed,2,3,No,Undergraduate
Not Placed,0,3,No,Diploma
Placed,4,7,Yes,Undergraduate
Placed,3,9,Yes,Diploma
Placed,4,9,Yes,Diploma
Not Placed,1,4,No,Undergraduate
Placed,4,5,Yes,Diploma
Placed,3,2,Yes,Diploma
Placed,2,1,Yes,Postgraduate
Placed,3,0,No,Postgraduate
Not Placed,2,0,No,Undergraduate
Placed,2,3,Yes,Diploma
Placed,5,5,Yes,Undergraduate
Placed,2,8,No,Diploma
Placed,1,10,No,Diploma
Placed,3,10,Yes,Undergraduate
Placed,0,7,Yes,Postgraduate
Placed,1,0,Yes,Undergraduate
Not Placed,2,4,No,Diploma
Placed,3,4,Yes,Diploma
Not Placed,1,4,No,Undergraduate
Placed,5,5,No,Undergraduate
Placed,2,6,No,Diploma
Placed,3,6,No,Undergraduate
Placed,3,7,No,Diploma
Not Placed,2,1,No,Undergraduate
Placed,3,9,Yes,Diploma
Placed,2,5,Yes,Undergraduate
Placed,2,10,No,Postgraduate
Placed,3,9,No,Undergraduate
Placed,5,7,No,Postgraduate
Placed,0,5,No,Postgraduate
Placed,5,0,Yes,Diploma
Placed,5,6,No,Diploma
Placed,5,10,Yes,Undergraduate
Placed,1,9,No,Undergraduate
Placed,1,1,Yes,Diploma
Not Placed,2,5,No,Diploma
Placed,0,9,Yes,Diploma
Placed,3,5,No,Postgraduate
Placed,0,9,Yes,Diploma
Placed,2,6,No,Diploma
Placed,2,3,Yes,Undergraduate
